"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Poland","2017","Total","Male","Dabrowa Górnicza","City proper","Estimate - de jure","Final figure, complete","2018","57741","1,2"
"Poland","2017","Total","Male","Elblag","City proper","Estimate - de jure","Final figure, complete","2018","56801","1,2"
"Poland","2017","Total","Male","Gdansk","City proper","Estimate - de jure","Final figure, complete","2018","220029","1,2"
"Poland","2017","Total","Male","Gdynia","City proper","Estimate - de jure","Final figure, complete","2018","115200","1,2"
"Poland","2017","Total","Male","Gliwice","City proper","Estimate - de jure","Final figure, complete","2018","86712","1,2"
"Poland","2017","Total","Male","Gorzów Wielkopolski","City proper","Estimate - de jure","Final figure, complete","2018","58052","1,2"
"Poland","2017","Total","Male","Grudziadz","City proper","Estimate - de jure","Final figure, complete","2018","44685","1,2"
"Poland","2017","Total","Male","Jastrzebie-Zdrój","City proper","Estimate - de jure","Final figure, complete","2018","43292","1,2"
"Poland","2017","Total","Male","Kalisz","City proper","Estimate - de jure","Final figure, complete","2018","46876","1,2"
"Poland","2017","Total","Male","Katowice","City proper","Estimate - de jure","Final figure, complete","2018","144027","1,2"
"Poland","2017","Total","Male","Kielce","City proper","Estimate - de jure","Final figure, complete","2018","92056","1,2"
"Poland","2017","Total","Male","Koszalin","City proper","Estimate - de jure","Final figure, complete","2018","49864","1,2"
"Poland","2017","Total","Male","Kraków","City proper","Estimate - de jure","Final figure, complete","2018","354667","1,2"
"Poland","2017","Total","Male","Legnica","City proper","Estimate - de jure","Final figure, complete","2018","46779","1,2"
"Poland","2017","Total","Male","Lódz","City proper","Estimate - de jure","Final figure, complete","2018","315581","1,2"
"Poland","2017","Total","Male","Lublin","City proper","Estimate - de jure","Final figure, complete","2018","157525","1,2"
"Poland","2017","Total","Male","Olsztyn","City proper","Estimate - de jure","Final figure, complete","2018","81005","1,2"
"Poland","2017","Total","Male","Opole","City proper","Estimate - de jure","Final figure, complete","2018","60059","1,2"
